"ID";"Model";"Lot_ID";"Serial_Number";"Current_Station";"Receiving_Time";"Assembly_Time";"Burn_In_Start";"Burn_In_End";"Packing_Time";"Shipping_Time";"Burn_In_Result";"Firmware_Update_Time";"Repair_Time";"Is_Received";"Is_Assembly_Done";"Is_Firmware_Updated";"Is_Burn_In_Processing";"Is_Burn_In_Done";"Is_Packing_Done";"Is_Shipping_Done";"Is_Repaired_Done";"Is_ReWork";"Is_Passed";"Symptoms_Fail";"Re_Work_Count";"Re_Work_Start"
1;"SMC-P04W R17";111819;"30N004000130";"Repair Station";"2019-11-18 13:51:06";"2019-11-18 13:51:16";"2019-11-18 13:53:53";"2019-11-18 13:54:15";"";"";"Unrepairable";"2019-11-18 13:51:21";"2019-10-29 15:02:34";1;1;1;1;1;0;0;1;0;0;"Fan Noise";0;""
2;"SMC-P04W R17";111819;"30N004000357";"Result Station";"2019-11-18 13:57:48";"2019-11-18 15:38:17";"2019-11-18 16:30:12";"2019-11-19 16:31:07";"";"";"PASS";"2019-11-18 15:39:07";"";1;1;1;1;1;0;0;0;0;1;"No Trouble Found.";1;"2019-11-18 15:36:35"
3;"SMC-P04W R17";111819;"30N004000208";"Result Station";"2019-11-18 13:57:53";"2019-11-18 15:38:13";"2019-11-18 16:30:12";"2019-11-19 16:31:11";"";"";"PASS";"2019-11-18 15:39:10";"";1;1;1;1;1;0;0;0;0;1;"No Trouble Found.";1;"2019-11-18 15:36:39"
4;"SMC-P04W R17";111819;"30N004000037";"Result Station";"2019-11-18 13:57:59";"2019-11-18 15:38:13";"2019-11-18 16:30:12";"2019-11-19 16:31:11";"";"";"PASS";"2019-11-18 15:39:11";"";1;1;1;1;1;0;0;0;0;1;"No Trouble Found.";1;"2019-11-18 15:36:40"
5;"SMC-P04W R17";111819;"30N004000014";"Result Station";"2019-11-18 13:58:04";"2019-11-18 15:38:14";"2019-11-18 16:30:12";"2019-11-19 16:31:10";"";"";"PASS";"2019-11-18 15:39:10";"";1;1;1;1;1;0;0;0;0;1;"No Trouble Found.";1;"2019-11-18 15:36:38"
6;"SMC-P04W R17";111819;"30N004000145";"Result Station";"2019-11-18 13:59:00";"2019-11-18 15:38:16";"2019-11-18 16:30:12";"2019-11-19 16:31:09";"";"";"PASS";"2019-11-18 15:39:08";"";1;1;1;1;1;0;0;0;0;1;"No Trouble Found.";1;"2019-11-18 15:36:36"
7;"SMC-P04W R17";111819;"30N004000355";"Result Station";"2019-11-18 13:59:11";"2019-11-18 15:38:15";"2019-11-18 16:30:12";"2019-11-19 16:31:09";"";"";"PASS";"2019-11-18 15:39:08";"";1;1;1;1;1;0;0;0;0;1;"No Trouble Found.";1;"2019-11-18 15:36:36"
8;"SMC-P04W R17";111819;"30N004000308";"Result Station";"2019-11-18 13:59:16";"2019-11-18 15:38:15";"2019-11-18 16:30:12";"2019-11-19 16:31:10";"";"";"PASS";"2019-11-18 15:39:09";"";1;1;1;1;1;0;0;0;0;1;"No Trouble Found.";1;"2019-11-18 15:36:37"
9;"SMC-P04W R17";111819;"30N004000361";"Result Station";"2019-11-18 13:59:23";"2019-11-18 15:38:16";"2019-11-18 16:30:12";"2019-11-19 16:31:08";"";"";"PASS";"2019-11-18 15:39:07";"";1;1;1;1;1;0;0;0;0;1;"No Trouble Found.";1;"2019-11-18 15:36:35"
10;"SMC-P04W R17";102419;"30N004000039";"Result Station";"2019-10-24 08:21:16";"2019-11-26 10:07:41";"2019-11-26 11:52:21";"2019-12-02 08:42:16";"";"";"PASS";"2019-11-26 10:09:20";"";1;1;1;0;1;0;0;0;0;1;"No Trouble Found.";1;"2019-11-26 10:04:48"
11;"SMC-P04W R17";102419;"30N004000200";"Shipping Station";"2019-10-24 08:21:46";"2019-11-22 14:06:55";"2019-11-25 08:50:30";"2019-11-26 11:57:18";"2019-12-04 11:41:52";"2019-12-04 14:30:53";"PASS";"2019-11-22 14:11:04";"";1;1;1;1;1;1;1;0;0;1;"No Trouble Found.";1;"2019-11-22 14:06:41"
12;"SMC-P04W R17";102419;"30N004000139";"Result Station";"2019-10-24 08:21:55";"2019-11-21 13:15:53";"2019-11-26 11:52:21";"2019-12-02 08:42:54";"";"";"PASS";"2019-11-21 13:16:30";"";1;1;1;0;1;0;0;0;0;1;"No Trouble Found.";1;"2019-11-21 13:15:24"
